DADOS DA COMPANHIA;;;; INFORMAÇÕES DA OFERTA;;;;; ANÚNCIO DE ENCERRAMENTO ;;;;;PARTICIPAÇÃO DOS INVESTIDORES (%) ³;;;
NOME DE PREGÃO;LISTAGEM NA OFERTA;CLASSIFICAÇÃO SETORIAL (SEGMENTO);COORDENADOR LÍDER;CLASSIFICAÇÃO;TIPO;FIXAÇÃO DE PREÇO;PREÇO POR AÇÃO / UNIT / BDR (LÇTO)4;INÍCIO DE NEGOCIAÇÃO;Nº DE PESSOAS FÍSICAS; Nº TOTAL DE INVESTIDORES ; VOLUME PRIMÁRIA (R$) ; VOLUME SECUNDÁRIA (R$) ;VOLUME TOTAL (R$);VAREJO;INSTITUCIONAL;ESTRANGEIROS;OUTROS
SPRINGS;NM;Fios e Tecidos;Credit Suisse;IPO;ICVM 400;25/7/2007;19.00;27/07/07; 7307 ; 7592 ; 446500000 ; 209000000 ; 655500000 ;6%;18%;37%;39%
PROVIDENCIA;NM;Materiais Diversos;UBS;IPO;ICVM 400;25/7/2007;15.00;27/07/07; 11036 ; 11615 ; 468750000 ; - ; 468750000 ;9%;23%;67%;0%
MULTIPLAN;N2;Exploração de Imóveis;UBS;IPO;ICVM 400;25/7/2007;25.00;27/07/07; 24137 ; 25531 ; 688327725 ; 236200650 ; 924528375 ;10%;26%;64%;0%
GENERALSHOPP;NM;Exploração de Imóveis;JP Morgan;IPO;ICVM 400;26/7/2007;14.00;30/07/07; 4966 ; 5168 ; 286728400 ; - ; 286728400 ;10%;24%;66%;0%
ESTACIO PART;N2;Serviços Educacionais;UBS;IPO;ICVM 400;26/7/2007;22.50;30/07/07; 10782 ; 11320 ; 268164000 ; 178776000 ; 446940000 ;9%;26%;64%;0%
BANRISUL;N1;Bancos;Credit Suisse;FOLLOW-ON;ICVM 400;24/7/2007;12.00;31/07/07; 13220 ; 13799 ; 799999992 ; 1286956524 ; 2086956516 ;6%;7%;84%;3%
COSAN LTD ¹;BDR;Alimentos Diversos;Morgan Stanley;IPO;ICVM 400;16/8/2007;21.05;17/08/07; 1560 ; 1819 ; 275016440 ; - ; 275016440 ;1%;6%;93%;0%
SATIPEL;NM;Madeira;UBS;IPO;ICVM 400;19/9/2007;13.00;21/09/07; 6756 ; 7211 ; 227766344 ; 184774057 ; 412540401 ;9%;22%;69%;0%
SUL AMERICA;N2;Seguradoras;Unibanco;IPO;ICVM 400;3/10/2007;31.00;05/10/07; 19047 ; 19979 ; 775000000 ; - ; 775000000 ;9%;3%;87%;1%
BICBANCO;N1;Bancos;UBS;IPO;ICVM 400;10/10/2007;11.50;15/10/07; 5158 ; 6257 ; 492915645 ; 328610430 ; 821526075 ;5%;9%;85%;2%
TRISUL;NM;Construção Civil;Morgan Stanley;IPO;ICVM 400;11/10/2007;11.00;15/10/07; 2427 ; 2713 ; 330281050 ; - ; 330281050 ;5%;4%;91%;0%
TENDA;NM;Construção Civil;Itaú BBA;IPO;ICVM 400;10/10/2007;9.00;15/10/07; 10040 ; 10636 ; 603000000 ; - ; 603000000 ;10%;22%;68%;0%
SEB;N2;Serviços Educacionais;Credit Suisse;IPO;ICVM 400;16/10/2007;33.00;18/10/07; 3681 ; 3875 ; 288750000 ; 123750000 ; 412500000 ;6%;14%;80%;0%
BR MALLS PAR;NM;Exploração de Imóveis;Itaú BBA;FOLLOW-ON;ICVM 400;17/10/2007;25.00;19/10/07; 2294 ; 2643 ; 664450000 ; - ; 664450000 ;3%;8%;69%;20%
MARISA;NM;Tecidos. Vestuário e Calçados;Credit Suisse;IPO;ICVM 400;18/10/2007;10.00;22/10/07; 13012 ; 13733 ; 506000000 ; - ; 506000000 ;9%;27%;64%;0%
PDG REALT;NM;Construção Civil;UBS;FOLLOW-ON;ICVM 400;22/10/2007;25.00;23/10/07; 931 ; 1062 ; 575000000 ; - ; 575000000 ;6%;25%;61%;9%
AGRENCO;BDR;Alimentos;Credit Suisse;IPO;ICVM 400;23/10/2007;10.40;25/10/07; 799 ; 908 ; 666187454 ; - ; 666187454 ;1%;3%;88%;9%
BOVESPA HLD;NM;Serviços Financeiros Diversos;Credit Suisse;IPO;ICVM 400;24/10/2007;23.00;26/10/07; 63929 ; 67914 ; - ; 6625520875 ; 6625520875 ;9%;13%;78%;0%
BR BROKERS;NM;Intermediação Imobiliária;Credit Suisse;IPO;ICVM 400;25/10/2007;950.00;29/10/07; 13 ; 130 ; 304017100 ; 395087900 ; 699105000 ;1%;1%;98%;0%
AMIL;NM;Serv Méd Hospit. Análises e Diagnósticos;Credit Suisse;IPO;ICVM 400;25/10/2007;14.00;29/10/07; 4340 ; 4675 ; 994700000 ; 406000000 ; 1400700000 ;4%;16%;80%;0%
HELBOR;NM;Construção Civil;Bradesco BBI;IPO;ICVM 400;24/10/2007;11.00;29/10/07; 709 ; 845 ; 251832053 ; - ; 251832053 ;6%;35%;56%;3%
LAEP;BDR;Laticínios;UBS;IPO;ICVM 400;26/10/2007;7.50;31/10/07; 556 ; 706 ; 507611108 ; - ; 507611108 ;1%;27%;73%;0%
PANAMERICANO;N1;Bancos;UBS;IPO;ICVM 400;13/11/2007;10.00;19/11/07; 21044 ; 21792 ; 700426000 ; - ; 700426000 ;10%;22%;67%;0%
BMF;NM;Serviços Financeiros Diversos;Bradesco BBI;IPO;ICVM 400;28/11/2007;20.00;30/11/07; 253707 ; 260946 ; - ; 5983696920 ; 5983696920 ;10%;12%;77%;0%
MPX ENERGIA;NM;Energia Elétrica;UBS;IPO;ICVM 400;12/12/2007;1006.63;14/12/07; 148 ; 325 ; 2035409887 ; - ; 2035409887 ;2%;9%;71%;18%
PERDIGAO S/A;NM;Carnes e Derivados;Credit Suisse;FOLLOW-ON;ICVM 400;12/12/2007;45.00;14/12/07; 13888 ; 14688 ; 933489000 ; - ; 933489000 ;10%;58%;26%;6%
BRASIL;NM;Bancos;BB Investimentos;FOLLOW-ON;ICVM 400;13/12/2007;29.25;17/12/07; 115013 ; 122023 ; - ; 3443996702 ; 3443996702 ;37%;17%;44%;3%
TEMPO PART;NM;Serv Méd Hospit. Análises e Diagnósticos;UBS;IPO;ICVM 400;17/12/2007;7.00;19/12/07; 3791 ; 3938 ; 393750000 ; 26045600 ; 419795600 ;9%;7%;84%;1%
NUTRIPLANT;MA;Fertilizantes e Defensivos;HSBC;IPO;ICVM 400;11/2/2008;10.00;13/02/08; 1 ; 8 ; 20701000 ; - ; 20701000 ;37%;26%;11%;27%
GP INVEST ¹;BDR;Holdings Diversificadas;Credit Suisse;FOLLOW-ON;ICVM 400;22/2/2008;59.00;26/02/08; 48 ; 159 ; 366707007 ; - ; 366707007 ;5%;7%;88%;0%
REDECARD;NM;Serviços Financeiros Diversos;Citi;FOLLOW-ON;ICVM 400;12/3/2008;26.00;14/03/08; 7218 ; 7714 ; - ; 1216703202 ; 1216703202 ;8%;12%;80%;0%
HYPERMARCAS;NM;Produtos Diversos;Citi;IPO;ICVM 400;16/4/2008;17.00;18/04/08; 12933 ; 13465 ; 612390099 ; - ; 612390099 ;10%;2%;85%;3%
ANHANGUERA;N2;Serviços Educacionais;Credit Suisse;FOLLOW-ON;ICVM 400;22/4/2008;26.00;23/04/08; 1064 ; 1207 ; 508300000 ; - ; 508300000 ;4%;0%;96%;0%
COPASA;NM;Água e Saneamento;BB Investimentos;FOLLOW-ON;ICVM 400;23/4/2008;24.50;25/04/08; 747 ; 939 ; - ; 460024765 ; 460024765 ;2%;20%;77%;0%
GERDAU;N1;Siderurgia;Itaú BBA;FOLLOW-ON;ICVM 400;24/4/2008;60.30;28/04/08; 9770 ; 10800 ; 2900252959 ; - ; 2900252959 ;9%;12%;29%;50%
GERDAU MET;N1;Siderurgia;Itaú BBA;FOLLOW-ON;ICVM 400;24/4/2008;78.35;28/04/08; 3238 ; 3907 ; 1505181302 ; - ; 1505181302 ;21%;36%;16%;27%
LE LIS BLANC;NM;Tecidos. Vestuário e Calçados;Merrill Lynch;IPO;ICVM 400;25/4/2008;6.75;29/04/08; 270 ; 318 ; 150187500 ; - ; 150187500 ;1%;1%;87%;11%
OGX PETROLEO;NM;Exploração e/ou Refino;UBS;IPO;ICVM 400;11/6/2008;1131.00;13/06/08; 1308 ; 2560 ; 6711662763 ; - ; 6711662763 ;8%;8%;63%;20%
SLC AGRICOLA;NM;Agricultura;Credit Suisse;FOLLOW-ON;ICVM 400;25/6/2008;27.50;27/06/08; 2860 ; 3076 ; 258431250 ; 110756223 ; 369187473 ;8%;12%;78%;1%
VALE R DOCE;N1;Minerais Metálicos;Credit Suisse;FOLLOW-ON;ICVM 400;16/7/2008;43.58;18/07/08; 29608 ; 32392 ; 19434193129 ; - ; 19434193129 ;5%;14%;39%;42%
REDECARD;NM;Serviços Financeiros Diversos;Citi;FOLLOW-ON;ICVM 400;24/3/2009;24.50;26/03/09; 2604 ; 3435 ; - ; 2212895370 ; 2212895370 ;4%;8%;87%;0%
MRV;NM;Construção Civil;UBS;FOLLOW-ON;ICVM 400;23/6/2009;24.50;25/06/09; 1310 ; 1880 ; 595350000 ; 126787500 ; 722137500 ;7%;23%;70%;0%
VISANET;NM;Serviços Financeiros Diversos;Bradesco BBI;IPO;ICVM 400;25/6/2009;15.00;29/06/09; 49037 ; 52943 ; - ; 8397208920 ; 8397208920 ;8%;15%;57%;21%
BR MALLS PAR;NM;Exploração de Imóveis;Itaú BBA;FOLLOW-ON;ICVM 400;1/7/2009;15.00;03/07/09; 2716 ; 3397 ; 454270140 ; 381586905 ; 835857045 ;8%;12%;79%;0%
LIGHT S/A;NM;Energia Elétrica;Itaú BBA;FOLLOW-ON;ICVM 400;13/7/2009;24.00;15/07/09; 4294 ; 4871 ; - ; 772091520 ; 772091520 ;18%;34%;47%;1%
HYPERMARCAS;NM;Produtos Diversos;Citi;FOLLOW-ON;ICVM 400;14/7/2009;23.00;16/07/09; 3899 ; 4442 ; 563500000 ; 230000000 ; 793500000 ;9%;11%;80%;0%
BRF FOODS;NM;Carnes e Derivados;UBS;FOLLOW-ON;ICVM 400;21/7/2009;40.00;23/07/09; 13211 ; 14783 ; 5290000000 ; - ; 5290000000 ;6%;22%;32%;41%
NATURA;NM;Produtos de Uso Pessoal;Itaú BBA;FOLLOW-ON;ICVM 400;30/7/2009;26.50;03/08/09; 6237 ; 6944 ; - ; 1505104892 ; 1505104892 ;9%;26%;59%;6%
TIVIT;NM;Programas e Serviços;Credit Suisse;IPO;ICVM 400;24/9/2009;15.00;28/09/09; 5774 ; 6191 ; - ; 574566690 ; 574566690 ;9%;6%;85%;0%
MULTIPLAN;N2;Exploração de Imóveis;BTG Pactual;FOLLOW-ON;ICVM 400;24/9/2009;26.50;28/09/09; 5318 ; 6050 ; 792350000 ; - ; 792350000 ;8%;14%;74%;4%
ROSSI RESID;NM;Construção Civil;Credit Suisse;FOLLOW-ON;ICVM 400;1/10/2009;12.50;05/10/09; 4342 ; 4825 ; 928125000 ; - ; 928125000 ;8%;19%;73%;0%
PDG REALT;NM;Construção Civil;BTG Pactual;FOLLOW-ON;ICVM 400;1/10/2009;14.00;05/10/09; 2521 ; 3287 ; 784000000 ; 274400000 ; 1058400000 ;8%;19%;73%;0%
SANTANDER BR ¹;N2;Bancos;Santander;IPO;ICVM 400;6/10/2009;23.50;07/10/09; 74132 ; 101673 ; 13182457728 ; - ; 13182457728 ;8%;10%;80%;1%
GOL ¹;N2;Transporte Aéreo;Itaú BBA;FOLLOW-ON;ICVM 400;8/10/2009;16.50;13/10/09; 3588 ; 3986 ; 627082500 ; 399052500 ; 1026135000 ;5%;45%;49%;2%
BROOKFIELD;NM;Construção Civil;Itaú BBA;FOLLOW-ON;ICVM 400;20/10/2009;6.80;22/10/09; 5833 ; 6519 ; 562700000 ; 102000000 ; 664700000 ;9%;42%;43%;5%
CCR RODOVIAS;NM;Exploração de Rodovias;Itaú BBA;FOLLOW-ON;ICVM 400;21/10/2009;33.00;23/10/09; 4930 ; 5612 ; 1263735000 ; - ; 1263735000 ;9%;22%;69%;0%
IGUATEMI;NM;Exploração de Imóveis;Itaú BBA;FOLLOW-ON;ICVM 400;22/10/2009;28.50;26/10/09; 3563 ; 3847 ; 410400000 ; - ; 410400000 ;9%;33%;58%;0%
CETIP;NM;Serviços Financeiros Diversos;Itaú BBA;IPO;ICVM 400;26/10/2009;13.00;28/10/09; 5058 ; 5437 ; - ; 772991934 ; 772991934 ;10%;5%;84%;0%
CYRELA REALT;NM;Construção Civil;Credit Suisse;FOLLOW-ON;ICVM 400;27/10/2009;22.00;29/10/09; 5170 ; 5766 ; 1182500000 ; - ; 1182500000 ;8%;2%;72%;17%
MARFRIG;NM;Carnes e Derivados;Bradesco BBI;FOLLOW-ON;ICVM 400;11/11/2009;19.00;12/11/09; 5 ; 2644 ; 1501760000 ; - ; 1501760000 ;1%;27%;48%;24%
DIRECIONAL;NM;Construção Civil;Santander;IPO;ICVM 400;17/11/2009;10.50;19/11/09; 588 ; 661 ; 273999999 ; - ; 273999999 ;7%;7%;64%;21%
ENERGIAS BR;NM;Energia Elétrica;Bradesco BBI;FOLLOW-ON;ICVM 400;24/11/2009;28.50;26/11/09; 1109 ; 1551 ; - ; 441750000 ; 441750000 ;9%;32%;58%;0%
ANHANGUERA;N2;Serviços Educacionais;Itaú BBA;FOLLOW-ON;ICVM 400;8/12/2009;22.50;10/12/09; 1487 ; 1924 ; - ; 750375000 ; 750375000 ;9%;12%;79%;0%
FLEURY;NM;Serv Méd Hospit. Análises e Diagnósticos;Bradesco BBI;IPO;ICVM 400;15/12/2009;16.00;17/12/09; 4631 ; 5176 ; 630233120 ; - ; 630233120 ;9%;16%;75%;0%
ALIANSCE;NM;Exploração de Imóveis ;BTG Pactual;IPO;ICVM 400;27/1/2010;9.00;29/01/10; 1626 ; 1892 ; 450000000 ; 193500000 ; 643500000 ;7%;20%;73%;0%
INPAR S/A;NM;Construção Civil ;Credit Suisse;FOLLOW-ON;ICVM 400;2/2/2010;3.20;04/02/10; 1423 ; 1612 ; 280000000 ; - ; 280000000 ;7%;25%;68%;0%
MULTIPLUS;NM;Programas de Fidelização ;BTG Pactual;IPO;ICVM 400;3/2/2010;16.00;05/02/10; 1167 ; 1388 ; 692384000 ; - ; 692384000 ;4%;0%;82%;13%
PDG REALT;NM;Construção Civil;Credit Suisse;FOLLOW-ON;ICVM 400;4/2/2010;14.50;08/02/10; 2802 ; 3491 ; - ; 1618891462 ; 1618891462 ;10%;43%;47%;0%
BR PROPERT;NM;Exploração de Imóveis;Itaú BBA;IPO;ICVM 400;4/3/2010;13.00;08/03/10; 1451 ; 1831 ; 747500000 ; 186888000 ; 934388000 ;4%;29%;65%;2%
OSX BRASIL ;NM;Máquinas e Equipamentos;Credit Suisse;IPO;ICVM 400;18/3/2010;800.00;22/03/10; 30 ; 184 ; 2450400000 ; - ; 2450400000 ;1%;2%;69%;28%
GAFISA ¹;NM;Construção Civil;Itaú BBA;FOLLOW-ON;ICVM 400;23/3/2010;12.50;25/03/10; 2488 ; 2910 ; 1063750000 ; - ; 1063750000 ;6%;32%;62%;0%
ECORODOVIAS;NM;Exploração de Rodovias;Itaú BBA;IPO;ICVM 400;30/3/2010;9.50;01/04/10; 1982 ; 2647 ; 874000000 ; 494028500 ; 1368028500 ;5%;29%;51%;15%
HYPERMARCAS;NM;Produtos Diversos;Citi;FOLLOW-ON;ICVM 400;31/3/2010;21.00;05/04/10; 2697 ; 3616 ; 1232616000 ; - ; 1232616000 ;8%;20%;72%;0%
MILLS;NM;Serviços Diversos;Itaú BBA;IPO;ICVM 400;14/4/2010;11.50;16/04/10; 1086 ; 1358 ; 425925926 ; 259814808 ; 685740734 ;3%;15%;77%;4%
EVEN;NM;Construção Civil;Itaú BBA;FOLLOW-ON;ICVM 400;15/4/2010;6.00;19/04/10; 2156 ; 2515 ; 326000004 ; 180000000 ; 506000004 ;10%;33%;47%;10%
JULIO SIMOES;NM;Transporte Rodoviário;Bradesco BBI;IPO;ICVM 400;19/4/2010;8.00;22/04/10; 726 ; 989 ; 477902824 ; - ; 477902824 ;3%;15%;65%;17%
JBS;NM;Carnes e Derivados;BTG Pactual;FOLLOW-ON;ICVM 400;27/4/2010;8.00;29/04/10; 3378 ; 4070 ; 1600000000 ; - ; 1600000000 ;9%;56%;34%;1%
BRASIL;NM;Bancos;BB Investimentos;FOLLOW-ON;ICVM 400;30/6/2010;24.65;02/07/10; 103471 ; 113502 ; 7049900000 ; 2711500000 ; 9761400000 ;16%;43%;39%;2%
RENOVA;N2;Energia Elétrica;Santander;IPO;ICVM 400;8/7/2010;15.00;13/07/10; 579 ; 619 ; 160707000 ; - ; 160707000 ;9%;0%;2%;89%
PETROBRAS;BÁSICO;Exploração e/ou Refino ;Bradesco BBI;FOLLOW-ON;ICVM 400;23/9/2010;28.16;27/09/10; 104109 ; 112827 ; 120248558770 ; - ; 120248558770 ;3%;10%;20%;66%
ESTACIO PART;NM;Serviços Educacionais;BTG Pactual;FOLLOW-ON;ICVM 400;30/9/2010;19.00;04/10/10; 1173 ; 1701 ; 62326156 ; 623261560 ; 685587716 ;9%;21%;70%;0%
HRT PETROLEO;NM;Exploração e/ou Refino ;Credit Suisse;IPO;ICVM 400;21/10/2010;1200.00;25/10/10; 127 ; 646 ; 2474746800 ; 6253200 ; 2481000000 ;2%;13%;85%;0%
LOPES BRASIL;NM;Intermediação Imobiliária;Itaú BBA;FOLLOW-ON;ICVM 400;21/10/2010;37.51;25/10/10; 2035 ; 2215 ; 207055200 ; - ; 207055200 ;9%;26%;65%;0%
BR INSURANCE;NM;Corretoras de Seguros;Morgan Stanley;IPO;ICVM 400;28/10/2010;1350.00;01/11/10; 70 ; 472 ; 348097500 ; 296527500 ; 644625000 ;5%;15%;80%;0%
ANHANGUERA;NM;Serviços Educacionais;Itaú BBA;FOLLOW-ON;ICVM 400;9/12/2010;36.70;13/12/10; 2124 ; 2484 ; 844100000 ; - ; 844100000 ;9%;16%;75%;0%
RAIA;NM;Medicamentos;Itaú BBA;IPO;ICVM 400;16/12/2010;24.00;20/12/10; 6672 ; 7477 ; 525655800 ; 129041880 ; 654697680 ;9%;26%;65%;0%
AREZZO CO ;NM;Tecidos. Vestuário e Calçados;Itaú BBA;IPO;ICVM 400;31/1/2011;19.00;02/02/11; 8992 ; 9799 ; 195588242 ; 370220605 ; 565808847 ;8%;22%;70%;0%
SIERRABRASIL ;NM;Exploração de Imóveis ;Credit Suisse;IPO;ICVM 400;1/2/2011;20.00;03/02/11; 3389 ; 3739 ; 465020860 ; - ; 465020860 ;9%;35%;55%;0%
TECNISA ;NM;Construção Civil;Itaú BBA;FOLLOW-ON;ICVM 400;1/2/2011;10.00;03/02/11; 2391 ; 2665 ; 398305000 ; - ; 398305000 ;9%;39%;51%;0%
AUTOMETAL ;NM;Material Rodoviário;Santander;IPO;ICVM 400;3/2/2011;14.00;07/02/11; 3545 ; 3837 ; 440752200 ; 13559420 ; 454311620 ;9%;14%;64%;14%
BR BROKERS ;NM;Intermediação Imobiliária ;Credit Suisse;FOLLOW-ON;ICVM 400;3/2/2011;7.90;07/02/11; 2729 ; 2874 ; 189303553 ; - ; 189303553 ;9%;10%;81%;0%
QGEP PART ;NM;Exploração e/ou Refino ;Itaú BBA;IPO;ICVM 400;7/2/2011;19.00;09/02/11; 8896 ; 9722 ; 1515079361 ; - ; 1515079361 ;12%;15%;72%;1%
DIRECIONAL;NM;Construção Civil ;Itaú BBA;FOLLOW-ON;ICVM 400;9/2/2011;11.00;11/02/11; 1162 ; 1336 ; 228800000 ; 79200000 ; 308000000 ;11%;8%;81%;0%
MAGNESITA SA;NM;Materiais Diversos ;Itaú BBA;FOLLOW-ON;ICVM 400;11/2/2011;8.25;15/02/11; 1620 ; 1822 ; 278602500 ; - ; 278602500 ;13%;34%;53%;0%
IMC HOLDINGS;NM;Restaurante e Similares ;BTG Pactual;IPO;ICVM 400;3/3/2011;13.50;09/03/11; 669 ; 775 ; 320515988 ; 133079733 ; 453595721 ;3%;4%;93%;0%
TIME FOR FUN;NM;Produção de Eventos e Shows;Credit Suisse;IPO;ICVM 400;11/4/2011;16.00;13/04/11; 900 ; 1041 ; 187586208 ; 315476128 ; 503062336 ;4%;5%;91%;0%
GERDAU;N1;Siderurgia;BTG Pactual;FOLLOW-ON;ICVM 400;12/4/2011;18.34;14/04/11; 10579 ; 12141 ; 3719719767 ; 1265229454 ; 4984949221 ;8%;30%;39%;24%
MAGAZ LUIZA;NM;Eletrodomésticos;Itaú BBA;IPO;ICVM 400;28/4/2011;16.00;02/05/11; 34496 ; 36995 ; 583911472 ; 302469264 ; 886380736 ;21%;30%;47%;2%
BR MALLS PAR ;NM;Exploração de Imóveis;Itaú BBA;FOLLOW-ON;ICVM 400;10/5/2011;17.20;12/05/11; 950 ; 1486 ; 731000000 ; - ; 731000000 ;6%;23%;71%;0%
BR PHARMA;NM;Medicamentos;BTG Pactual;IPO;ICVM 400;22/6/2011;17.25;27/06/11; 141 ; 372 ; 414000000 ; - ; 414000000 ;10%;33%;56%;0%
QUALICORP;NM;Serv Méd Hospit. Análises e Diagnósticos;BofA Merrill Lynch;IPO;ICVM 400;27/6/2011;13.00;29/06/11; 807 ; 997 ; 353852577 ; 731295305 ; 1085147882 ;2%;8%;90%;0%
BR PROPERT ;NM;Exploração de Imóveis ;Itaú BBA;FOLLOW-ON;ICVM 400;28/6/2011;17.15;30/06/11; 607 ; 951 ; 690287500 ; - ; 690287500 ;6%;25%;69%;1%
TECHNOS;NM;Acessórios;Itaú BBA;IPO;ICVM 400;28/6/2011;16.50;01/07/11; 586 ; 739 ; 180608109 ; 280945946 ; 461554055 ;6%;39%;55%;0%
KROTON;N2;Serviços Educacionais;Itaú BBA;FOLLOW-ON;ICVM 400;29/6/2011;19.25;01/07/11; 413 ; 587 ; 380229850 ; 15400000 ; 395629850 ;8%;20%;72%;0%
METAL LEVE;NM;Material Rodoviário;Itaú BBA;FOLLOW-ON;ICVM 400;30/6/2011;41.00;05/07/11; 377 ; 619 ; - ; 305766315 ; 305766315 ;9%;41%;38%;12%
ENERGIAS BR;NM;Energia Elétrica;Santander;FOLLOW-ON;ICVM 400;7/7/2011;37.00;11/07/11; 1278 ; 1816 ; - ; 810724020 ; 810724020 ;11%;29%;60%;0%
ABRIL EDUCA;N2;Jornais. Livros e Revistas ;Credit Suisse;IPO;ICVM 400;21/7/2011;20.00;26/07/11; 1394 ; 1604 ; 371134040 ; - ; 371134040 ;12%;36%;42%;10%
TIM PART S/A;NM;Telefonia móvel ;Itaú BBA;FOLLOW-ON;ICVM 400;4/10/2011;8.60;06/10/11; 650 ; 988 ; 1722221965 ; - ; 1722221965 ;2%;8%;21%;68%
QUALICORP;NM;Serv Méd Hospit. Análises e Diagnósticos;Credit Suisse;FOLLOW-ON;ICVM 400;17/4/2012;16.50;18/04/12; 731 ; 1077 ; - ; 758544452 ; 758544452 ;6%;27%;66%;0%
LOCAMERICA;NM;Aluguel de carros;Itaú BBA;IPO;ICVM 400;19/4/2012;9.00;23/04/12; 239 ; 391 ; 163636362 ; 109343196 ; 272979558 ;5%;49%;46%;0%
FIBRIA;NM;Papel e Celulose;Itaú BBA;FOLLOW-ON;ICVM 400;24/4/2012;15.83;25/04/12; 847 ; 949 ; 1361380000 ; - ; 1361380000 ;3%;6%;32%;59%
BTG PACTUAL;BÁSICO;Bancos;BTG Pactual;IPO;ICVM 400;24/4/2012;31.25;26/04/12; 6122 ; 7221 ; 2587500000 ; 646875000 ; 3234375000 ;10%;14%;68%;9%
UNICASA;NM;Móveis ;BTG Pactual;IPO;ICVM 400;25/4/2012;14.00;27/04/12; 774 ; 1040 ; 127909096 ; 297687082 ; 425596178 ;4%;51%;45%;0%
BR PHARMA;NM;Medicamento;BTG Pactual;FOLLOW-ON;ICVM 400;21/6/2012;9.25;25/06/12; 18 ; 384 ; 488400000 ; 64750000 ; 553150000 ;0%;32%;45%;23%
SUZANO PAPEL;N1;Papel e Celulose;BTG Pactual;FOLLOW-ON;ICVM 400;27/6/2012;4.00;29/06/12; 281 ; 484 ; 1463368856 ; - ; 1463368856 ;12%;16%;10%;62%
TAESA;N2;Energia Elétrica;BTG Pactual;FOLLOW-ON;ICVM 400;19/7/2012;65.00;20/07/12; 1547 ; 2184 ; 1755000000 ; - ; 1755000000 ;4%;32%;55%;10%
MINERVA;NM;Carnes e Derivados;BTG Pactual;FOLLOW-ON;ICVM 400;28/11/2012;11.00;30/11/12; 1142 ; 1483 ; 415391900 ; 82500000 ; 497891900 ;10%;42%;44%;5%
MARFRIG;NM;Carnes e Derivados;Itaú BBA;FOLLOW-ON;ICVM 400;4/12/2012;8.00;06/12/12; 2439 ; 2881 ; 1050000000 ; - ; 1050000000 ;3%;25%;54%;18%
EQUATORIAL;NM;Energia Elétrica;BTG Pactual;FOLLOW-ON;ICVM 400;7/12/2012;16.00;10/12/12; 3146 ; 3554 ; 1210113984 ; 210454608 ; 1420568592 ;7%;51%;42%;0%
ALIANSCE;NM;Exploração de Imóveis ;Itaú BBA;FOLLOW-ON;ICVM 400;12/12/2012;23.25;14/12/12; 3613 ; 3998 ; 447629693 ; - ; 447629693 ;11%;36%;52%;0%
ESTACIO PART;NM;Serviços Educacionais;Credit Suisse;FOLLOW-ON;ICVM 400;23/1/2013;42.00;28/01/13; 6213 ; 6708 ; 616858200 ; 151826346 ; 768684546 ;10%;34%;55%;0%
LINX;NM;Programas e Serviços;Credit Suisse;IPO;ICVM 400;6/2/2013;27.00;08/02/13; 6247 ; 6923 ; 343102500 ; 184747500 ; 527850000 ;11%;27%;62%;0%
SENIOR SOL;MA;Programas e Serviços;Banco Votorantim;IPO;ICVM 400;6/3/2013;11.50;08/03/13; 1221 ; 1318 ; 39655163 ; 17806830 ; 57461993 ;31%;45%;13%;11%
MULTIPLAN;N2;Exploração de Imóveis;Credit Suisse;FOLLOW-ON;ICVM 400;27/3/2013;58.00;01/04/13; 8158 ; 8887 ; 626400000 ; - ; 626400000 ;10%;25%;50%;15%
BIOSEV;NM;Açúcar e Álcool;BTG Pactual;IPO;ICVM 400;15/4/2013;15.00;19/04/13; 890 ; 961 ; 700000005 ; - ; 700000005 ;2%;21%;77%;0%
BHG;NM;Hotelaria;Itaú BBA;FOLLOW-ON;ICVM 400;18/4/2013;17.50;22/04/13; 3776 ; 3963 ; 355490520 ; - ; 355490520 ;19%;20%;59%;2%
ALUPAR;N2;Energia Elétrica;Itaú BBA;IPO;ICVM 400;22/4/2013;18.50;24/04/13; 4935 ; 5310 ; 821226100 ; - ; 821226100 ;15%;30%;55%;1%
ABRIL EDUCA;N2;Jornais. Livros e Revistas ;Itaú BBA;FOLLOW-ON;ICVM 400;24/4/2013;45.00;26/04/13; 3026 ; 3269 ; 126673920 ; 395222535 ; 521896455 ;12%;30%;54%;4%
BB SEGURIDADE;NM;Seguradoras;BB Investimentos;IPO;ICVM 400;25/4/2013;17.00;29/04/13; 103359 ; 114335 ; - ; 11475000000 ; 11475000000 ;16%;23%;58%;3%
SMILES;NM;Programas de Fidelização ;Credit Suisse;IPO;ICVM 400;25/4/2013;21.70;29/04/13; 3655 ; 4096 ; 1132173890 ; - ; 1132173890 ;9%;14%;40%;36%
IGUATEMI;NM;Exploração de Imóveis;Itaú BBA;FOLLOW-ON;ICVM 400;4/6/2013;23.50;06/06/13; 1892 ; 2082 ; 425364100 ; - ; 425364100 ;10%;21%;58%;11%
CPFL RENOVAV;NM;Energia Elétrica;BofA Merrill Lynch;IPO;ICVM 400;17/7/2013;12.51;19/07/13; 1260 ; 1321 ; 364687304 ; 549999998 ; 914687302 ;3%;45%;25%;28%
TUPY;NM;Material Rodoviário;Citi;FOLLOW-ON;ICVM 400;16/10/2013;17.50;18/10/13; 322 ; 517 ; 523250000 ; - ; 523250000 ;6%;40%;55%;0%
